cds,schoolname,districtname,countyname,charter_flag,math_status,english_status,combined_status,status_level,ReportingYear
30666476030951,Rose Drive Elementary,Placentia-Yorba Linda Unified,Orange,,43.2,50.3,93.5,5,2018
36679186101927,Sixth Street Prep,Victor Elementary,San Bernardino,Y,40.2,53.3,93.5,5,2018
19734456014294,Mesa Robles,Hacienda la Puente Unified,Los Angeles,,42.4,50.7,93.1,5,2018
01612596001754,Crocker Highlands Elementary,Oakland Unified,Alameda,,37.7,55.1,92.8,5,2018
31750856116057,Granite Oaks Middle,Rocklin Unified,Placer,,42.7,49.9,92.6,5,2018
37683386112460,Kumeyaay Elementary,San Diego Unified,San Diego,,44.4,48.0,92.4,5,2018
19647336016745,Delevan Drive Elementary,Los Angeles Unified,Los Angeles,,43.1,49.2,92.3,5,2018
30666476030092,Sierra Vista Elementary,Placentia-Yorba Linda Unified,Orange,,39.3,53.0,92.3,5,2018
19645356116248,Richmond Street Elementary,El Segundo Unified,Los Angeles,,37.2,54.7,91.9,5,2018
43104390128090,Summit Public School: Denali,Santa Clara County Office of Education,Santa Clara,Y,38.0,53.9,91.9,5,2018
01612006097661,Sunset Elementary,Livermore Valley Joint Unified,Alameda,,37.6,54.2,91.8,5,2018
30664806027833,Frank Vessels Elementary,Cypress Elementary,Orange,,42.0,49.8,91.8,5,2018
30665226028450,Hilton D. Bell Intermediate,Garden Grove Unified,Orange,,36.4,55.4,91.8,5,2018
36676786112833,Hidden Trails Elementary,Chino Valley Unified,San Bernardino,,36.1,55.4,91.5,5,2018
37768510110122,Bonsall West Elementary,Bonsall Unified,San Diego,,36.6,54.9,91.5,5,2018
30666136029607,Hope View Elementary,Ocean View,Orange,,37.6,53.7,91.3,5,2018
30664646113344,Oak Grove Elementary,Capistrano Unified,Orange,,40.4,50.7,91.1,5,2018
30665976029334,Harbor View Elementary,Newport-Mesa Unified,Orange,,35.3,55.8,91.1,5,2018
07616300734244,Miramonte High,Acalanes Union High,Contra Costa,,35.4,55.5,90.9,5,2018
37680076037758,Ada W. Harris Elementary,Cardiff Elementary,San Diego,,40.9,50.0,90.9,5,2018
19650526022966,Oak Avenue Intermediate,Temple City Unified,Los Angeles,,46.2,44.6,90.8,5,2018
07618126005177,Indian Valley Elementary,Walnut Creek Elementary,Contra Costa,,35.3,55.4,90.7,5,2018
09619786005714,Rescue Elementary,Rescue Union Elementary,El Dorado,,39.8,50.8,90.6,5,2018
30666470109678,Lakeview Elementary,Placentia-Yorba Linda Unified,Orange,,41.0,49.5,90.5,5,2018
41690396044812,Audubon Elementary,San Mateo-Foster City,San Mateo,,47.3,43.2,90.5,5,2018
57726786060396,Oliver Wendell Holmes Junior High,Davis Joint Unified,Yolo,,49.1,41.3,90.4,5,2018
07618046005151,Vista Grande Elementary,San Ramon Valley Unified,Contra Costa,,41.6,48.7,90.3,5,2018
30739246029060,Los Alamitos Elementary,Los Alamitos Unified,Orange,,48.4,41.9,90.3,5,2018
30665226028781,Sunnyside Elementary,Garden Grove Unified,Orange,,37.6,52.6,90.2,5,2018
37682966093231,Sunset Hills Elementary,Poway Unified,San Diego,,37.5,52.5,90.0,5,2018
19650526022933,Emperor Elementary,Temple City Unified,Los Angeles,,43.0,46.8,89.8,5,2018
07617966004840,Madera Elementary,West Contra Costa Unified,Contra Costa,,39.2,50.5,89.7,5,2018
27661346058754,Pacific Grove Middle,Pacific Grove Unified,Monterey,,35.9,53.7,89.6,5,2018
36675956114649,Banyan Elementary,Alta Loma Elementary,San Bernardino,,35.3,54.3,89.6,5,2018
37683386096879,Dailard Elementary,San Diego Unified,San Diego,,46.1,43.5,89.6,5,2018
19647256015366,Henry,Long Beach Unified,Los Angeles,,41.7,47.7,89.4,5,2018
